burgers,meatballs,eggs,chocolate,ice cream,coffee
chutney,chocolate,ice cream,,,
turkey,avocado,chocolate,ice cream,,
mineral water,milk,energy bar,whole wheat rice,green tea,coffee
low fat yogurt,ice cream,chocolate,coffee,,
coffee,chocolate,ice cream,energy bar,,
chocolate,ice cream,mineral water,,,
turkey,avocado,,,,
chocolate,energy bar,mineral water,,,
chocolate,ice cream,energy bar,avocado,,
turkey,ice cream,,,,
energy bar,whole wheat rice,green tea,coffee,ice cream,mineral water
chocolate,ice cream,milk,,,
